Module_ID,module_size,de_in_module,total_genes,total_de,hypergeom_p,expected_overlap,enrichment_ratio,de_category,hypergeom_p_adj,significant
Module_39,141,6,39220,4653,0.9995349268450275,16.728021417644058,0.3586795981544737,Female_Unique_annotated_with_FC,1,FALSE
Module_41,138,2,39220,2813,0.9996022100382584,9.897858235594084,0.20206391649536057,Male_Unique_annotated_with_FC,1,FALSE
Module_88,62,1,39220,4653,0.9996048768912084,7.355583885772565,0.1359511380101634,Female_Unique_annotated_with_FC,1,FALSE
Module_86,64,1,39220,4653,0.9996932009617194,7.592860785313616,0.13170266494734578,Female_Unique_annotated_with_FC,1,FALSE
Module_79,65,1,39220,4653,0.9997296586163603,7.7114992350841405,0.12967647010200203,Female_Unique_annotated_with_FC,1,FALSE
Module_80,65,1,39220,4653,0.9997296586163603,7.7114992350841405,0.12967647010200203,Female_Unique_annotated_with_FC,1,FALSE
Module_81,65,1,39220,4653,0.9997296586163603,7.7114992350841405,0.12967647010200203,Female_Unique_annotated_with_FC,1,FALSE
Module_82,65,1,39220,4653,0.9997296586163603,7.7114992350841405,0.12967647010200203,Female_Unique_annotated_with_FC,1,FALSE
Module_18,323,7,39220,2366,0.9997390443341562,19.485415604283528,0.3592430432154176,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_78,66,1,39220,4653,0.9997617847422211,7.830137684854666,0.12771167510045653,Female_Unique_annotated_with_FC,1,FALSE
Module_32,179,3,39220,2813,0.9998239980624783,12.838526262111168,0.23367167996949517,Male_Unique_annotated_with_FC,1,FALSE
Module_40,139,5,39220,4653,0.9998564538284288,16.490744518103007,0.30320037973489683,Female_Unique_annotated_with_FC,1,FALSE
Module_74,72,1,39220,4653,0.9998884985760772,8.541968383477817,0.11706903550875182,Female_Unique_annotated_with_FC,1,FALSE
Module_21,267,6,39220,2813,0.9999120085629603,19.15020397756247,0.31331258962201974,Male_Unique_annotated_with_FC,1,FALSE
Module_73,74,1,39220,4653,0.9999134290753102,8.779245283018868,0.1139050075220288,Female_Unique_annotated_with_FC,1,FALSE
Module_06,1297,61,39220,2813,0.9999161264326244,93.02552269250383,0.6557340204541038,Male_Unique_annotated_with_FC,1,FALSE
Module_42,126,1,39220,2813,0.9999167109921632,9.037174910759816,0.11065404950936412,Male_Unique_annotated_with_FC,1,FALSE
Module_72,75,1,39220,4653,0.9999237191308097,8.897883732789394,0.11238627408840174,Female_Unique_annotated_with_FC,1,FALSE
Module_69,77,1,39220,4653,0.9999407759236338,9.135160632330443,0.10946715008610561,Female_Unique_annotated_with_FC,1,FALSE
Module_18,323,8,39220,2813,0.9999469804170265,23.166726160122387,0.3453228541964057,Male_Unique_annotated_with_FC,1,FALSE
Module_36,160,1,39220,2366,0.9999535207884969,9.65221825599184,0.10360312764158919,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_37,152,5,39220,4653,0.9999611205625609,18.033044365119835,0.2772687683102017,Female_Unique_annotated_with_FC,1,FALSE
Module_65,81,1,39220,4653,0.9999643018540285,9.609714431412545,0.10406136489666828,Female_Unique_annotated_with_FC,1,FALSE
Module_40,139,1,39220,2813,0.9999684558148089,9.96958184599694,0.10030510962719338,Male_Unique_annotated_with_FC,1,FALSE
Module_16,401,11,39220,2813,0.9999701062179869,28.76116777154513,0.382460131221892,Male_Unique_annotated_with_FC,1,FALSE
Module_20,285,4,39220,2366,0.9999772833583119,17.193013768485468,0.2326526375109371,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_28,211,3,39220,2813,0.9999781076969989,15.13368179500255,0.1982333209219888,Male_Unique_annotated_with_FC,1,FALSE
Module_27,212,3,39220,2813,0.999979503682031,15.205405405405406,0.1972982580874511,Male_Unique_annotated_with_FC,1,FALSE
Module_62,86,1,39220,4653,0.999981041840124,10.202906680265171,0.09801128554221082,Female_Unique_annotated_with_FC,1,FALSE
Module_32,179,1,39220,2366,0.9999858247850211,10.798419173890872,0.09260614761259368,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_13,505,15,39220,2813,0.9999878890969263,36.22042325344212,0.4141309971736598,Male_Unique_annotated_with_FC,1,FALSE
Module_04,1922,1,39220,228,0.9999897729931599,11.173278939316676,0.08949924238275188,Shared_With_Interaction_annotated_with_FC,1,FALSE
Module_46,113,2,39220,4653,0.9999899054546086,13.406144824069353,0.149185319586374,Female_Unique_annotated_with_FC,1,FALSE
Module_12,509,15,39220,2813,0.9999900095202844,36.507317695053544,0.41087652961237364,Male_Unique_annotated_with_FC,1,FALSE
Module_34,169,5,39220,4653,0.9999932326948229,20.049898011218765,0.24937782711923465,Female_Unique_annotated_with_FC,1,FALSE
Module_25,238,3,39220,2813,0.9999963542690757,17.070219275879655,0.1757446668678136,Male_Unique_annotated_with_FC,1,FALSE
Module_19,320,4,39220,2366,0.9999964730580775,19.30443651198368,0.20720625528317838,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_14,421,10,39220,2813,0.9999968057005153,30.195639979602245,0.33117363986175485,Male_Unique_annotated_with_FC,1,FALSE
Module_23,253,2,39220,2366,0.9999976020812169,15.262570117287098,0.13103952903284008,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_33,174,1,39220,2813,0.9999976936031727,12.47990821009689,0.08012879447229816,Male_Unique_annotated_with_FC,1,FALSE
Module_27,212,7,39220,4653,0.9999980162841423,25.15135135135135,0.2783150655491081,Female_Unique_annotated_with_FC,1,FALSE
Module_28,211,1,39220,2366,0.9999980842114916,12.72886282508924,0.07856161337750837,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_20,285,4,39220,2813,0.9999988276672205,20.44122896481387,0.19568295071129654,Male_Unique_annotated_with_FC,1,FALSE
Module_07,1220,49,39220,2813,0.9999989663168116,87.50280469148393,0.5599820505498476,Male_Unique_annotated_with_FC,1,FALSE
Module_32,179,4,39220,4653,0.9999996190038014,21.236282508924017,0.18835688394704206,Female_Unique_annotated_with_FC,1,FALSE
Module_25,238,1,39220,2366,0.9999996464892131,14.357674655787863,0.06964916143972383,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_21,267,9,39220,4653,0.9999998311348354,31.67646608873024,0.28412260303247633,Female_Unique_annotated_with_FC,1,FALSE
Module_14,421,5,39220,2366,0.9999999031853438,25.39739928607853,0.19687055133793668,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_21,267,1,39220,2366,0.9999999425213002,16.107139214686384,0.06208427124589614,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_17,384,15,39220,4653,0.999999990730017,45.55716471188169,0.32925666236836454,Female_Unique_annotated_with_FC,1,FALSE
Module_24,240,5,39220,4653,0.9999999967847785,28.47322794492606,0.17560355326312774,Female_Unique_annotated_with_FC,1,FALSE
Module_17,384,4,39220,2813,0.9999999983487926,27.541866394696584,0.1452334399810404,Male_Unique_annotated_with_FC,1,FALSE
Module_13,505,5,39220,2366,0.9999999990055203,30.46481387047425,0.16412376656093336,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_12,509,5,39220,2366,0.9999999992028676,30.706119326874045,0.16283399236399085,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_10,856,50,39220,4653,0.9999999993994015,101.55451300356961,0.4923464110181151,Female_Unique_annotated_with_FC,1,FALSE
Module_25,238,4,39220,4653,0.9999999995127649,28.235951045385008,0.14166337069966606,Female_Unique_annotated_with_FC,1,FALSE
Module_16,401,2,39220,2366,0.9999999996547257,24.19087200407955,0.0826758125818168,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_17,384,1,39220,2366,0.9999999999627991,23.165323814380418,0.04316796985066216,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_08,1132,31,39220,2813,0.9999999999892123,81.19112697603263,0.38181512136358325,Male_Unique_annotated_with_FC,1,FALSE
Module_11,699,8,39220,2366,0.9999999999918909,42.16812850586435,0.18971674303466976,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_15,413,11,39220,4653,0.999999999998429,48.997679755226926,0.22450042644777587,Female_Unique_annotated_with_FC,1,FALSE
Module_10,856,10,39220,2366,0.9999999999999298,51.63936766955635,0.1936507058721293,Shared_No_Interaction_annotated_with_FC,1,FALSE
Module_02,4782,271,39220,4653,1,567.3290668026517,0.47767691778476906,Female_Unique_annotated_with_FC,1,FALSE
Module_06,1297,49,39220,4653,1,153.87406935237124,0.31844221840776904,Female_Unique_annotated_with_FC,1,FALSE
Module_07,1220,32,39220,4653,1,144.7389087200408,0.22108775230505262,Female_Unique_annotated_with_FC,1,FALSE
Module_08,1132,32,39220,4653,1,134.29872514023458,0.23827478605314856,Female_Unique_annotated_with_FC,1,FALSE
Module_09,1006,9,39220,4653,1,119.35028046914839,0.07540828529788388,Female_Unique_annotated_with_FC,1,FALSE
Module_104,51,0,39220,4653,1,6.050560938296788,0,Female_Unique_annotated_with_FC,1,FALSE
Module_105,50,0,39220,4653,1,5.931922488526262,0,Female_Unique_annotated_with_FC,1,FALSE
Module_11,699,21,39220,4653,1,82.92827638959714,0.25323087509189235,Female_Unique_annotated_with_FC,1,FALSE
Module_113,44,0,39220,4653,1,5.220091789903111,0,Female_Unique_annotated_with_FC,1,FALSE
Module_119,42,0,39220,4653,1,4.98281489036206,0,Female_Unique_annotated_with_FC,1,FALSE
Module_121,41,0,39220,4653,1,4.864176440591535,0,Female_Unique_annotated_with_FC,1,FALSE
Module_126,38,0,39220,4653,1,4.508261091279959,0,Female_Unique_annotated_with_FC,1,FALSE
